zipcode,population,centroid_lat,centroid_lon,regional spatial type,capacity,rc_centroid_lat,rc_centroid_lon
83361,1454,48.039197846154,12.466739212694,rural,158496,48.036700610699,12.456574303758
83362,3293,47.866385893265,12.715279942032,rural,120168,47.875219052582,12.714024173207
83364,990,47.82608175532,12.754093795214,urban,0,,
83365,2584,47.909663724641,12.597608751897,rural,0,,
83367,2425,47.90759194591,12.827051610618,rural,110241,47.909173887773,12.807409964679
83368,1522,47.977281057729,12.572330030382,rural,0,,
83370,1862,47.97064785764,12.460041467396,rural,154543,47.977857829891,12.464217849097
83371,1448,47.985348469645,12.551889608734,rural,0,,
83373,2057,47.978161966289,12.713956162934,rural,125439,47.994219119758,12.725986169058
83374,2127,47.937303233383,12.623157410151,rural,0,,
83376,1649,47.958164407063,12.502404482092,rural,151294,47.957296211345,12.502066726455
83377,1948,47.844363710376,12.589240694914,rural,127436,47.838528598961,12.60501272312
83379,1556,47.902642962384,12.721155602033,rural,122777,47.908357212628,12.715414666272
83395,16699,47.844320718526,12.975531386249,urban,92181,47.824436478447,12.96653882944
83404,10081,47.819075070639,12.935143309929,urban,91977,47.818350297385,12.959951761015
83410,7219,47.937428135208,12.896465066473,urban,98011,47.92347890716,12.914449746023
83413,4357,48.003557069155,12.817417585623,rural,114307,48.006171596685,12.815481317053
83416,5553,47.877173234186,12.92713508998,urban,95118,47.870444058838,12.94760791353
83417,3295,47.953587721408,12.817822458308,rural,107847,47.952231722027,12.842535892949
83435,17816,47.73426143169,12.861194050751,urban,87770,47.716487248203,12.876169824383
83451,5451,47.759588772044,12.897031983761,urban,88886,47.766163018936,12.916832209433
83454,4553,47.792573197882,12.85959890485,urban,97529,47.789325849715,12.864541486403
83457,3032,47.706620823345,12.901810415302,urban,85773,47.73642295992,12.911894607319
83458,1428,47.702481629132,12.764882573658,rural,88002,47.715624284109,12.774017804327
83471,13709,47.582092923493,13.002054925814,urban,61499,47.624262318579,12.979882811439
83483,7845,47.661211159571,12.942993562814,rural,73299,47.679923544456,12.933498443298
83486,1833,47.588885897044,12.877764769215,rural,0,,
83487,1819,47.682262776154,13.050259276134,urban,62803,47.702782481158,13.038550410977
83512,12849,48.057972927503,12.193915590055,rural,0,,
83527,8073,48.174781934174,12.17682846759,rural,198454,48.166844920893,12.181997398836
83530,3718,48.077602016714,12.393886606643,rural,165350,48.081036571589,12.410709907625
83533,4439,48.068123748991,12.155889974777,rural,200316,48.058875651309,12.162966954829
83536,2278,48.146514021275,12.239905928288,rural,184175,48.154509970664,12.268673445188
83539,4074,48.050775393558,12.102884427946,rural,205836,48.048320532908,12.113671968991
83543,3879,47.986462473558,12.129220156835,rural,198055,47.992327995055,12.138357862448
83544,1749,48.105591187214,12.114924205329,rural,206464,48.106887888676,12.118763412517
83546,345,48.180953629902,12.324563709765,rural,0,,
83547,3068,48.083373828956,12.303971847002,rural,182607,48.086779021843,12.260431711352
83549,3048,48.02412136512,12.240837852365,rural,185928,48.035976741539,12.232688583399
83550,1534,47.988950205057,12.054312759973,urban,211772,47.996323764834,12.054331217078
83553,1529,48.028694876913,12.046097603859,urban,217096,48.034291067274,12.045139875235
83555,886,48.141430412695,12.299103408191,rural,0,,
83556,2699,47.989469096523,12.186558601079,rural,190933,47.997718616158,12.183060169488
83558,2016,48.145652305079,12.091661368391,rural,209146,48.147675387063,12.10695160495
83559,444,48.149449471707,12.325553584806,rural,0,,
83561,1414,48.015828819708,12.140232357713,rural,198188,48.024311889925,12.146985247325
83562,1910,48.119536673648,12.167662528417,rural,198909,48.119223567588,12.165935461044
83564,2862,48.105124541815,12.210200759856,rural,190556,48.122861200497,12.217102679315
83567,1796,48.126263449603,12.334596984879,rural,0,,
83569,3216,47.934803201264,12.175643153978,rural,189972,47.952899106273,12.177074664879
83607,16266,47.862802131021,11.678292025883,urban,228807,47.874709630494,11.701605642356
83620,10871,47.917174457236,11.857981302717,urban,218043,47.891598984541,11.866654361767
83623,5569,47.86730940559,11.592726426488,rural,216064,47.844193940073,11.588344933892
83624,4673,47.913735056425,11.677267191385,urban,253149,47.914314152747,11.681472122202
